,Episode,Reward
0,   0.00000,  14.00000
1,   1.00000,  57.00000
2,   2.00000,  25.00000
3,   3.00000,  15.00000
4,   4.00000,  12.00000
5,   5.00000,  10.00000
6,   6.00000,  10.00000
7,   7.00000,  10.00000
8,   8.00000,  10.00000
9,   9.00000,  10.00000
10,  10.00000,   9.00000
11,  11.00000,  11.00000
12,  12.00000,  12.00000
13,  13.00000,  17.00000
14,  14.00000,  11.00000
15,  15.00000,  13.00000
16,  16.00000,  10.00000
17,  17.00000,  12.00000
18,  18.00000,  11.00000
19,  19.00000,  13.00000
20,  20.00000,   9.00000
21,  21.00000,  11.00000
22,  22.00000,  11.00000
23,  23.00000,   8.00000
24,  24.00000,   9.00000
25,  25.00000,  12.00000
26,  26.00000,  10.00000
27,  27.00000,  13.00000
28,  28.00000,  11.00000
29,  29.00000,  11.00000
30,  30.00000,   8.00000
31,  31.00000,  16.00000
32,  32.00000,  11.00000
33,  33.00000,  10.00000
34,  34.00000,  12.00000
35,  35.00000,  10.00000
36,  36.00000,  10.00000
37,  37.00000,   9.00000
38,  38.00000,   8.00000
39,  39.00000,  10.00000
40,  40.00000,   9.00000
41,  41.00000,  11.00000
42,  42.00000,   8.00000
43,  43.00000,  10.00000
44,  44.00000,   8.00000
45,  45.00000,   9.00000
46,  46.00000,   9.00000
47,  47.00000,   9.00000
48,  48.00000,   9.00000
49,  49.00000,  10.00000
50,  50.00000,   9.00000
51,  51.00000,   9.00000
52,  52.00000,  10.00000
53,  53.00000,   9.00000
54,  54.00000,  10.00000
55,  55.00000,   8.00000
56,  56.00000,  20.00000
57,  57.00000,   8.00000
58,  58.00000,  10.00000
59,  59.00000,   9.00000
60,  60.00000,  46.00000
61,  61.00000,   9.00000
62,  62.00000,  14.00000
63,  63.00000,  22.00000
64,  64.00000,  21.00000
65,  65.00000,  22.00000
66,  66.00000,   9.00000
67,  67.00000,  15.00000
68,  68.00000,   9.00000
69,  69.00000,  17.00000
70,  70.00000,   9.00000
71,  71.00000,   9.00000
72,  72.00000,  25.00000
73,  73.00000,  18.00000
74,  74.00000,  13.00000
75,  75.00000,  16.00000
76,  76.00000,  15.00000
77,  77.00000,  23.00000
78,  78.00000,  17.00000
79,  79.00000,  25.00000
80,  80.00000,  17.00000
81,  81.00000,  25.00000
82,  82.00000,  23.00000
83,  83.00000,  25.00000
84,  84.00000,  34.00000
85,  85.00000,  23.00000
86,  86.00000,  32.00000
87,  87.00000,  15.00000
88,  88.00000,  16.00000
89,  89.00000,  63.00000
90,  90.00000,  40.00000
91,  91.00000,  84.00000
92,  92.00000,  32.00000
93,  93.00000,  57.00000
94,  94.00000,  48.00000
95,  95.00000, 102.00000
96,  96.00000,  58.00000
97,  97.00000,  74.00000
98,  98.00000, 100.00000
99,  99.00000,  99.00000
100, 100.00000,  87.00000
101, 101.00000, 100.00000
102, 102.00000, 165.00000
103, 103.00000, 422.00000
104, 104.00000, 137.00000
105, 105.00000, 336.00000
106, 106.00000, 127.00000
107, 107.00000, 136.00000
108, 108.00000, 474.00000
109, 109.00000, 253.00000
110, 110.00000, 296.00000
111, 111.00000, 204.00000
112, 112.00000, 454.00000
113, 113.00000, 235.00000
114, 114.00000, 233.00000
115, 115.00000, 240.00000
116, 116.00000, 222.00000
117, 117.00000, 116.00000
118, 118.00000, 175.00000
119, 119.00000, 327.00000
120, 120.00000, 256.00000
121, 121.00000, 149.00000
122, 122.00000, 146.00000
123, 123.00000, 189.00000
124, 124.00000, 295.00000
125, 125.00000, 183.00000
126, 126.00000, 235.00000
127, 127.00000, 210.00000
128, 128.00000, 307.00000
129, 129.00000, 271.00000
130, 130.00000, 261.00000
131, 131.00000, 241.00000
132, 132.00000, 148.00000
133, 133.00000, 215.00000
134, 134.00000, 196.00000
135, 135.00000, 292.00000
136, 136.00000, 187.00000
137, 137.00000, 224.00000
138, 138.00000, 295.00000
139, 139.00000, 206.00000
140, 140.00000, 161.00000
141, 141.00000, 330.00000
142, 142.00000, 185.00000
143, 143.00000, 419.00000
144, 144.00000, 173.00000
145, 145.00000, 202.00000
146, 146.00000, 221.00000
147, 147.00000, 308.00000
148, 148.00000, 203.00000
149, 149.00000, 406.00000
150, 150.00000, 204.00000
151, 151.00000, 143.00000
152, 152.00000, 226.00000
153, 153.00000, 138.00000
154, 154.00000, 240.00000
155, 155.00000, 187.00000
156, 156.00000, 109.00000
157, 157.00000, 224.00000
158, 158.00000, 157.00000
159, 159.00000, 201.00000
160, 160.00000, 176.00000
161, 161.00000, 167.00000
162, 162.00000, 191.00000
163, 163.00000, 198.00000
164, 164.00000, 245.00000
165, 165.00000, 192.00000
166, 166.00000, 127.00000
167, 167.00000, 167.00000
168, 168.00000, 194.00000
169, 169.00000, 205.00000
170, 170.00000, 226.00000
171, 171.00000, 127.00000
172, 172.00000, 189.00000
173, 173.00000, 175.00000
174, 174.00000, 159.00000
175, 175.00000, 223.00000
176, 176.00000, 271.00000
177, 177.00000, 162.00000
178, 178.00000, 175.00000
179, 179.00000, 167.00000
180, 180.00000, 185.00000
181, 181.00000, 186.00000
182, 182.00000, 180.00000
183, 183.00000, 144.00000
184, 184.00000, 147.00000
185, 185.00000, 154.00000
186, 186.00000, 201.00000
187, 187.00000, 148.00000
188, 188.00000, 165.00000
189, 189.00000, 168.00000
190, 190.00000, 147.00000
191, 191.00000, 131.00000
192, 192.00000, 143.00000
193, 193.00000, 203.00000
194, 194.00000, 143.00000
195, 195.00000, 134.00000
196, 196.00000, 137.00000
197, 197.00000, 150.00000
198, 198.00000, 152.00000
199, 199.00000, 154.00000
200, 200.00000, 139.00000
201, 201.00000, 132.00000
202, 202.00000, 152.00000
203, 203.00000, 148.00000
204, 204.00000, 154.00000
205, 205.00000, 166.00000
206, 206.00000, 134.00000
207, 207.00000, 132.00000
208, 208.00000, 155.00000
209, 209.00000, 175.00000
210, 210.00000, 135.00000
211, 211.00000, 163.00000
212, 212.00000, 144.00000
213, 213.00000, 161.00000
214, 214.00000, 194.00000
215, 215.00000, 154.00000
216, 216.00000, 125.00000
217, 217.00000, 149.00000
218, 218.00000, 173.00000
219, 219.00000, 160.00000
220, 220.00000, 151.00000
221, 221.00000, 156.00000
222, 222.00000, 197.00000
223, 223.00000, 160.00000
224, 224.00000, 177.00000
225, 225.00000, 166.00000
226, 226.00000, 195.00000
227, 227.00000, 153.00000
228, 228.00000, 174.00000
229, 229.00000, 250.00000
230, 230.00000, 325.00000
231, 231.00000, 167.00000
232, 232.00000, 193.00000
233, 233.00000, 154.00000
234, 234.00000, 162.00000
235, 235.00000, 195.00000
236, 236.00000, 181.00000
237, 237.00000, 212.00000
238, 238.00000, 143.00000
239, 239.00000, 161.00000
240, 240.00000, 157.00000
241, 241.00000, 184.00000
242, 242.00000, 260.00000
243, 243.00000, 178.00000
244, 244.00000, 159.00000
245, 245.00000, 225.00000
246, 246.00000, 187.00000
247, 247.00000, 184.00000
248, 248.00000, 169.00000
249, 249.00000, 140.00000
